"gene_name","rank_anova","rank_mi","stability","p_anova_bonf","p_mi_fdr","F_statistic","MI_score","rank_consensus"
"gene_7964",4,1,1,1,0.00101721565476874,50.6524796286911,0.354464253330112,2.5
"gene_7965",19,17,0.8,1,0.00101721565476874,34.4840162946903,0.285380694861538,18
"gene_7896",21,19,0.94,1,0.00101721565476874,65.6927918307338,0.38414284300448,20
"gene_16342",16,25,0.84,1,0.00101721565476874,10.1999089968567,0.137746134905258,20.5
"gene_18746",41,5,1,NA,NA,NA,NA,23
"gene_6816",42,7,0.82,1,0.00101721565476874,131.919264916301,0.515431694689515,24.5
"gene_7421",3,47,0.86,1,0.00101721565476874,51.5869856097166,0.404787505595499,25
"gene_9177",27,24,0.98,1,0.00101721565476874,255.885996489522,0.835535875983219,25.5
"gene_203",14,56,0.98,1,0.00101721565476874,17.2046447003403,0.152343314405429,35
"gene_17801",51,20,1,NA,NA,NA,NA,35.5
"gene_12568",58,15,0.68,1,0.00101721565476874,65.4388582631632,0.442012970857707,36.5
"gene_8349",77,9,0.91,1,0.00101721565476874,12.9099542232474,0.130292259091562,43
"gene_15897",85,12,0.86,1,0.00101721565476874,93.1868124689881,0.497747155006288,48.5
"gene_6594",59,41,0.74,1,0.00101721565476874,68.5186466164888,0.398048122329491,50
"gene_18381",98,2,0.75,NA,NA,NA,NA,50
"gene_11550",53,55,0.86,1,0.00101721565476874,27.8898893806833,0.229689952627315,54
"gene_12995",5,105,0.88,1,0.00101721565476874,40.8519128448872,0.433962296920963,55
"gene_8003",65,49,0.61,1,0.00101721565476874,41.7611052463542,0.344479382218774,57
"gene_3461",15,101,0.6,1,0.00101721565476874,194.882681005233,0.672800997117389,58
"gene_17316",74,42,0.86,1,0.00101721565476874,19.8380295358459,0.162617082303691,58
"gene_5407",111,6,1,1,0.00101721565476874,23.5813333511915,0.177443817612962,58.5
"gene_17109",116,3,0.66,1,0.00101721565476874,46.8932145112452,0.319326744776393,59.5
"gene_9652",94,27,1,1,0.00101721565476874,6.51384257210587,0.132793436676121,60.5
"gene_5625",49,75,0.69,1,0.00101721565476874,105.774108733955,0.554048264602792,62
"gene_3921",7,120,0.81,1,0.00101721565476874,65.7134678988232,0.431972396190956,63.5
"gene_6593",131,4,0.73,1,0.00101721565476874,54.6007612413552,0.485667916676976,67.5
"gene_11910",70,66,0.95,1,0.00101721565476874,18.0233889390313,0.185965362096077,68
"gene_9184",67,78,0.85,1,0.00101721565476874,26.5575870810166,0.247206370695952,72.5
