"gene_index_global","gene_name","decision","mean_importance"
7111,"gene_7964","Confirmed",8.78474650937937
7112,"gene_7965","Confirmed",6.67523211103286
7049,"gene_7896","Confirmed",6.26550715707828
14217,"gene_16342","Confirmed",6.3422237233347
16079,"gene_18746","Confirmed",10.5431978712596
6103,"gene_6816","Confirmed",4.48296916736073
6636,"gene_7421","Confirmed",4.87221497605193
8219,"gene_9177","Confirmed",9.87587401086043
182,"gene_203","Confirmed",9.78348598494127
15307,"gene_17906","Confirmed",0.526324584450148
566,"gene_628","Confirmed",1.54531930190684
5008,"gene_5576","Confirmed",2.76823210329751
15216,"gene_17801","Confirmed",6.7209049865583
10932,"gene_12568","Confirmed",2.84022621609519
5009,"gene_5577","Confirmed",2.81565105902822
7445,"gene_8349","Confirmed",3.32720136452748
13802,"gene_15897","Confirmed",4.7857401304344
1932,"gene_2129","Confirmed",1.03231897452338
707,"gene_775","Confirmed",0.805884221594436
5926,"gene_6594","Confirmed",5.31961909004641
15741,"gene_18381","Confirmed",4.36147571736644
10198,"gene_11550","Confirmed",7.26600261927208
11167,"gene_12995","Confirmed",6.54861511302856
7148,"gene_8003","Confirmed",2.95754956612132
3128,"gene_3461","Confirmed",6.5664525656216
14785,"gene_17316","Confirmed",3.99687848968137
4843,"gene_5407","Confirmed",3.41867641762987
14616,"gene_17109","Confirmed",1.5334525379208
8543,"gene_9652","Confirmed",3.01949388903661
5057,"gene_5625","Confirmed",2.69017358784125
9933,"gene_11259","Confirmed",2.09208842119655
3538,"gene_3921","Confirmed",9.5607816527765
5925,"gene_6593","Confirmed",1.38129891325526
10518,"gene_11910","Confirmed",8.45412268041191
8225,"gene_9184","Confirmed",5.50497281850666
2096,"gene_2318","Confirmed",4.83288549387198
10058,"gene_11393","Confirmed",3.51354352715613
7138,"gene_7992","Confirmed",2.58497580595565
9547,"gene_10841","Confirmed",1.13257123268817
9812,"gene_11124","Confirmed",1.86110542444403
16432,"gene_19159","Confirmed",1.82391626188509
6960,"gene_7792","Confirmed",0.706631323513778
3199,"gene_3541","Confirmed",1.78877093906909
11151,"gene_12977","Confirmed",3.73797136958323
16508,"gene_19236","Confirmed",5.16027290585646
5087,"gene_5657","Confirmed",1.3202805267506
2368,"gene_2639","Confirmed",1.20964238325745
15663,"gene_18290","Confirmed",3.87944138238725
15986,"gene_18636","Confirmed",2.59224464072939
677,"gene_742","Confirmed",2.90842524582894
14247,"gene_16372","Confirmed",1.17690888876957
6159,"gene_6876","Confirmed",3.95390591984924
10117,"gene_11464","Confirmed",7.90323997662715
7833,"gene_8776","Confirmed",0.678467648961321
10665,"gene_12078","Confirmed",3.65269182648077
13559,"gene_15633","Confirmed",3.9151048361827
14319,"gene_16449","Confirmed",0.487942924411309
3824,"gene_4224","Confirmed",1.76390733347522
5917,"gene_6584","Confirmed",3.93790374258288
15305,"gene_17904","Confirmed",1.29172128125468
15037,"gene_17585","Confirmed",1.89956345619488
12457,"gene_14427","Confirmed",0.656922261280742
10612,"gene_12013","Confirmed",12.1091066018763
13963,"gene_16061","Confirmed",2.48400895137557
72,"gene_89","Confirmed",2.44882369204206
9039,"gene_10279","Confirmed",0.745490290300601
7444,"gene_8348","Confirmed",3.53268147615137
7150,"gene_8005","Confirmed",2.92282372044204
15707,"gene_18335","Confirmed",0.272045465198415
1094,"gene_1189","Confirmed",8.72691685622938
6123,"gene_6836","Confirmed",1.83388513548294
13804,"gene_15900","Confirmed",5.83188256501469
14027,"gene_16133","Confirmed",1.02643008746111
4487,"gene_5021","Confirmed",2.8155850666518
130,"gene_148","Confirmed",0.962166325043397
7158,"gene_8013","Confirmed",1.989524926309
14057,"gene_16169","Confirmed",2.2699003978628
16134,"gene_18810","Confirmed",2.89596178397638
