"gene_name","rank_anova","rank_mi","F_statistic","p_anova_fdr","p_anova_bonf","MI_score","p_mi_fdr","stability"
"gene_180",89,240,496.286241638956,0.00516311313060701,1,0.815976737379657,0.00516311313060701,0.69
"gene_203",14,56,1115.85669988053,0.00516311313060701,1,0.9570004221732,0.00516311313060701,0.98
"gene_223",108,148,460.913281415127,0.00516311313060701,1,0.863047485772768,0.00516311313060701,0.84
"gene_951",246,62,318.107539986354,0.00516311313060701,1,0.947960491354854,0.00516311313060701,0.66
"gene_2288",29,231,821.199907218431,0.00516311313060701,1,0.822430495126063,0.00516311313060701,0.9
"gene_2318",113,39,453.180765970581,0.00516311313060701,1,0.989094343510685,0.00516311313060701,0.87
"gene_2774",140,135,411.741464186483,0.00516311313060701,1,0.872705442072199,0.00516311313060701,0.64
"gene_3461",15,101,1113.49108778961,0.00516311313060701,1,0.903118617326887,0.00516311313060701,0.6
"gene_3541",154,14,398.292830195412,0.00516311313060701,1,1.07228634823067,0.00516311313060701,0.61
"gene_3730",177,72,361.781838243854,0.00516311313060701,1,0.935019601745127,0.00516311313060701,0.64
"gene_3921",7,120,1285.23073025656,0.00516311313060701,1,0.886394475643103,0.00516311313060701,0.81
"gene_4224",149,37,400.742229116671,0.00516311313060701,1,0.993807391246067,0.00516311313060701,0.77
"gene_5021",146,85,405.845680422371,0.00516311313060701,1,0.913179254235679,0.00516311313060701,0.61
"gene_5407",111,6,455.689023164484,0.00516311313060701,1,1.15835949398739,0.00516311313060701,1
"gene_5625",49,75,643.243431808838,0.00516311313060701,1,0.934251811203795,0.00516311313060701,0.69
"gene_6584",144,46,408.908495781311,0.00516311313060701,1,0.971312256431654,0.00516311313060701,0.74
"gene_6593",131,4,424.048861886106,0.00516311313060701,1,1.16243664884306,0.00516311313060701,0.73
"gene_6594",59,41,597.039328271263,0.00516311313060701,1,0.984438536572973,0.00516311313060701,0.74
"gene_6611",180,74,358.385635984135,0.00516311313060701,1,0.934483698155678,0.00516311313060701,0.99
"gene_6733",12,313,1186.16176650423,0.00516311313060701,1,0.785619962683464,0.00516311313060701,0.92
"gene_6816",42,7,695.609736535565,0.00516311313060701,1,1.14270798979058,0.00516311313060701,0.82
"gene_6830",267,44,300.439615528402,0.00516311313060701,1,0.975304837252524,0.00516311313060701,0.77
"gene_6876",91,89,495.741119412172,0.00516311313060701,1,0.90994749603337,0.00516311313060701,1
"gene_7116",24,229,911.715135071571,0.00516311313060701,1,0.823108514425048,0.00516311313060701,0.75
"gene_7421",3,47,1468.29093007165,0.00516311313060701,1,0.969074326083562,0.00516311313060701,0.86
"gene_7896",21,19,986.864148951541,0.00516311313060701,1,1.03924935659,0.00516311313060701,0.94
"gene_7964",4,1,1378.63844399515,0.00516311313060701,1,1.36447828305524,0.00516311313060701,1
"gene_7965",19,17,1003.52562022186,0.00516311313060701,1,1.04586497170117,0.00516311313060701,0.8
"gene_7992",143,11,409.080950862971,0.00516311313060701,1,1.07947385700563,0.00516311313060701,0.65
"gene_8003",65,49,585.400567683264,0.00516311313060701,1,0.96680984738628,0.00516311313060701,0.61
"gene_8013",209,30,340.145564411341,0.00516311313060701,1,1.00625630448856,0.00516311313060701,0.69
"gene_8348",38,182,709.472501691668,0.00516311313060701,1,0.847393406728613,0.00516311313060701,0.8
"gene_8349",77,9,551.523632934332,0.00516311313060701,1,1.12624036480673,0.00516311313060701,0.91
"gene_9176",2,325,2109.24778939618,0.00516311313060701,1,0.778906271883241,0.00516311313060701,0.97
"gene_9177",27,24,841.698488706223,0.00516311313060701,1,1.03093187288895,0.00516311313060701,0.98
"gene_9184",67,78,576.855569532931,0.00516311313060701,1,0.926901572945083,0.00516311313060701,0.85
"gene_9652",94,27,492.038818229993,0.00516311313060701,1,1.01884256857125,0.00516311313060701,1
"gene_11124",127,31,432.424140217798,0.00516311313060701,1,0.997917523821221,0.00516311313060701,0.67
"gene_11393",139,13,414.937250155812,0.00516311313060701,1,1.07410186030855,0.00516311313060701,0.7
"gene_11464",80,100,536.067013383127,0.00516311313060701,1,0.903182639681007,0.00516311313060701,0.75
"gene_11550",53,55,626.437717036537,0.00516311313060701,1,0.95758986982643,0.00516311313060701,0.86
