"gene_name","MI_score","p_value","p_adj_bonf","p_adj_fdr","significant","rank_mi"
"gene_1",0.11235740628768,0.005,1,0.00516311313060701,TRUE,16763
"gene_2",0.221484049249153,0.005,1,0.00516311313060701,TRUE,12034
"gene_3",0.356803151946468,0.005,1,0.00516311313060701,TRUE,6373
"gene_4",0.197103347945783,0.005,1,0.00516311313060701,TRUE,13232
"gene_6",0.14126001212568,0.005,1,0.00516311313060701,TRUE,15716
"gene_7",0.0870047079608112,0.005,1,0.00516311313060701,TRUE,17370
"gene_10",0.195805025376827,0.005,1,0.00516311313060701,TRUE,13297
"gene_11",0.0867618757556103,0.01,1,0.0102438742487286,TRUE,17383
"gene_12",0.052422618225429,0.555,1,0.555344623200677,FALSE,17707
"gene_18",0.666370237784093,0.005,1,0.00516311313060701,TRUE,825
"gene_19",0.20625762625219,0.005,1,0.00516311313060701,TRUE,12764
"gene_20",0.120045756362476,0.005,1,0.00516311313060701,TRUE,16510
"gene_21",0.0346593752018345,0.6,1,0.60020316027088,FALSE,17726
"gene_22",0.135344624594083,0.005,1,0.00516311313060701,TRUE,15953
"gene_26",0.651372729514701,0.005,1,0.00516311313060701,TRUE,919
"gene_27",0.307805260183633,0.005,1,0.00516311313060701,TRUE,8213
"gene_28",0.580462997330409,0.005,1,0.00516311313060701,TRUE,1603
"gene_29",0.452712551624414,0.005,1,0.00516311313060701,TRUE,3666
"gene_31",0.294797389182154,0.005,1,0.00516311313060701,TRUE,8787
"gene_32",0.215217219484285,0.005,1,0.00516311313060701,TRUE,12354
"gene_33",0.432810962956194,0.005,1,0.00516311313060701,TRUE,4167
"gene_34",0.43752271205484,0.005,1,0.00516311313060701,TRUE,4025
"gene_35",0.529844342596969,0.005,1,0.00516311313060701,TRUE,2276
"gene_36",0.572938320007326,0.005,1,0.00516311313060701,TRUE,1686
"gene_38",0.21364032533077,0.005,1,0.00516311313060701,TRUE,12427
"gene_39",0.520294782875999,0.005,1,0.00516311313060701,TRUE,2417
"gene_40",0.266961058291055,0.005,1,0.00516311313060701,TRUE,9952
"gene_44",0.478367685891348,0.005,1,0.00516311313060701,TRUE,3172
"gene_45",0.563601017834404,0.005,1,0.00516311313060701,TRUE,1812
"gene_46",0.677729219155172,0.005,1,0.00516311313060701,TRUE,746
"gene_47",0.356192405247442,0.005,1,0.00516311313060701,TRUE,6393
"gene_48",0.30830359310546,0.005,1,0.00516311313060701,TRUE,8196
"gene_49",0.164317729897495,0.005,1,0.00516311313060701,TRUE,14731
"gene_50",0.158822028598773,0.005,1,0.00516311313060701,TRUE,14973
"gene_51",0.203913800189183,0.005,1,0.00516311313060701,TRUE,12888
"gene_52",0.165762295236298,0.005,1,0.00516311313060701,TRUE,14660
"gene_53",0.269412197335001,0.005,1,0.00516311313060701,TRUE,9828
"gene_54",0.210292018676123,0.005,1,0.00516311313060701,TRUE,12570
"gene_55",0.402088867116909,0.005,1,0.00516311313060701,TRUE,4979
"gene_56",0.237855808404841,0.005,1,0.00516311313060701,TRUE,11253
