"n_genes","n_repeats","MCC_mean","MCC_sd","MCC_se","BalAcc_mean","BalAcc_sd","AUC_mean","AUC_sd","F1_mean","F1_sd","MCC_ci_low","MCC_ci_high","AUC_ci_low","AUC_ci_high"
10,10,0.965986233904717,0.00838844214351466,0.00265265831940514,0.978583808889481,0.00696565416075338,0.999359408732007,0.000532004155215138,0.965797190997711,0.0105252602601654,0.960787023598683,0.971185444210751,0.999029669140397,0.999689148323617
11,10,0.975160975300353,0.0000541882132060125,0.0000171358176065815,0.98759824991919,0.00241522945769824,0.999388334630964,0.000302608330580614,0.976019407670461,0.00251234494596752,0.975127389097844,0.975194561502862,0.999200776044503,0.999575893217425
13,10,0.980920512278431,0.00405745488658034,0.0012830798944974,0.989046742478369,0.00358904326538363,0.999560120570255,0,0.981633894787622,0.00501798406251011,0.978405675685216,0.983435348871646,0.999560120570255,0.999560120570255
14,10,0.983367684572567,0,0,0.988105725691933,0,0.999819480802898,0.0000746402583981074,0.984554003989741,0,0.983367684572567,0.983367684572567,0.999773218291448,0.999865743314347
16,10,0.973372948786905,0.00527389727133377,0.00166775275231618,0.982675547621487,0.00370042472840525,0.999768712590968,0.000187605447501529,0.972313410342613,0.00647866793986381,0.970104153392365,0.976641744181444,0.999652433529919,0.999884991652018
18,10,0.981757168970892,0.00655199579696283,0.00207192299382527,0.986028914082613,0.00491651210608336,0.999652443962986,0.000120731295438546,0.981154567810235,0.00675255962435848,0.977696199902995,0.98581813803879,0.99957761393081,0.999727273995162
20,10,0.985910957627652,0.0040105625687127,0.00126825124157477,0.989449110744189,0.00215360063103705,0.999838612527149,0.000200917372542662,0.985981511201772,0.00249332082627399,0.983425185194165,0.988396730061138,0.999714082649478,0.99996314240482
23,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
26,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
29,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
33,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
37,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
41,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
46,10,0.991716131413883,0,0,0.99554162312783,0,0.999994694960212,0.0000167760088072491,0.994838335508192,0,0.991716131413883,0.991716131413883,0.999984297082228,1.0000050928382
52,10,0.991716131413883,0,0,0.99554162312783,0,0.99995225464191,0.0000167760088072491,0.994838335508192,0,0.991716131413883,0.991716131413883,0.999941856763926,0.999962652519894
59,10,0.991716131413883,0,0,0.99554162312783,0,0.999962864721485,0.0000256257767394882,0.994838335508192,0,0.991716131413883,0.991716131413883,0.999946981700509,0.999978747742462
66,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
74,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
84,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
94,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
106,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
119,10,0.996686452565553,0.00427777134349345,0.00135275007548378,0.998216649251132,0.00230229591693737,1,0,0.997935334203277,0.00266547208206434,0.994035062417605,0.999337842713502,1,1
134,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
151,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
170,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
191,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
215,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
242,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
273,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
307,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
346,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
389,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
438,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
492,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
554,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
624,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
702,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
790,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
889,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
1000,10,0.991716131413883,0,0,0.99554162312783,0,1,0,0.994838335508192,0,0.991716131413883,0.991716131413883,1,1
