"gene_index_mad","gene_name","stability_pi","is_stable","is_in_final_panel","rank_anova","rank_mi"
7111,"gene_7964",1,TRUE,FALSE,4,1
7112,"gene_7965",0.8,TRUE,FALSE,19,17
7049,"gene_7896",0.94,TRUE,FALSE,21,19
14217,"gene_16342",0.84,TRUE,FALSE,16,25
16079,"gene_18746",1,TRUE,FALSE,41,5
6103,"gene_6816",0.82,TRUE,FALSE,42,7
6636,"gene_7421",0.86,TRUE,FALSE,3,47
8219,"gene_9177",0.98,TRUE,FALSE,27,24
182,"gene_203",0.98,TRUE,FALSE,14,56
15307,"gene_17906",0.17,FALSE,FALSE,48,22
566,"gene_628",0.59,FALSE,FALSE,45,26
5008,"gene_5576",0.56,FALSE,FALSE,63,8
15216,"gene_17801",1,TRUE,FALSE,51,20
10932,"gene_12568",0.68,TRUE,FALSE,58,15
5009,"gene_5577",0.51,FALSE,FALSE,69,10
7445,"gene_8349",0.91,TRUE,FALSE,77,9
13802,"gene_15897",0.86,TRUE,FALSE,85,12
1932,"gene_2129",0.27,FALSE,FALSE,62,36
707,"gene_775",0.23,FALSE,FALSE,71,28
5926,"gene_6594",0.74,TRUE,FALSE,59,41
15741,"gene_18381",0.75,TRUE,FALSE,98,2
10198,"gene_11550",0.86,TRUE,FALSE,53,55
11167,"gene_12995",0.88,TRUE,FALSE,5,105
7148,"gene_8003",0.61,TRUE,FALSE,65,49
3128,"gene_3461",0.6,TRUE,FALSE,15,101
14785,"gene_17316",0.86,TRUE,FALSE,74,42
4843,"gene_5407",1,TRUE,FALSE,111,6
14616,"gene_17109",0.66,TRUE,FALSE,116,3
8543,"gene_9652",1,TRUE,FALSE,94,27
5057,"gene_5625",0.69,TRUE,FALSE,49,75
9933,"gene_11259",0.45,FALSE,FALSE,109,16
3538,"gene_3921",0.81,TRUE,FALSE,7,120
5925,"gene_6593",0.73,TRUE,FALSE,131,4
10518,"gene_11910",0.95,TRUE,FALSE,70,66
8225,"gene_9184",0.85,TRUE,FALSE,67,78
2096,"gene_2318",0.87,TRUE,FALSE,113,39
10058,"gene_11393",0.7,TRUE,FALSE,139,13
7138,"gene_7992",0.65,TRUE,FALSE,143,11
9547,"gene_10841",0.48,FALSE,FALSE,103,51
9812,"gene_11124",0.67,TRUE,FALSE,127,31
16432,"gene_19159",0.57,FALSE,FALSE,32,128
6960,"gene_7792",0.31,FALSE,FALSE,137,29
3199,"gene_3541",0.61,TRUE,FALSE,154,14
11151,"gene_12977",0.79,TRUE,FALSE,117,52
16508,"gene_19236",0.62,TRUE,FALSE,33,136
5087,"gene_5657",0.41,FALSE,FALSE,66,104
2368,"gene_2639",0.54,FALSE,FALSE,128,45
15663,"gene_18290",0.69,TRUE,FALSE,106,70
15986,"gene_18636",0.43,FALSE,FALSE,50,126
677,"gene_742",0.35,FALSE,FALSE,56,122
14247,"gene_16372",0.69,TRUE,FALSE,158,21
6159,"gene_6876",1,TRUE,FALSE,91,89
10117,"gene_11464",0.75,TRUE,FALSE,80,100
7833,"gene_8776",0.29,FALSE,FALSE,114,67
10665,"gene_12078",0.74,TRUE,FALSE,43,138
13559,"gene_15633",0.82,TRUE,FALSE,104,77
14319,"gene_16449",0.17,FALSE,FALSE,112,71
3824,"gene_4224",0.77,TRUE,FALSE,149,37
5917,"gene_6584",0.74,TRUE,FALSE,144,46
15305,"gene_17904",0.95,TRUE,FALSE,173,18
15037,"gene_17585",0.49,FALSE,FALSE,99,97
12457,"gene_14427",0.36,FALSE,FALSE,68,133
10612,"gene_12013",0.71,TRUE,FALSE,37,166
13963,"gene_16061",0.42,FALSE,FALSE,55,156
72,"gene_89",0.57,FALSE,FALSE,183,34
9039,"gene_10279",0.44,FALSE,FALSE,186,32
7444,"gene_8348",0.8,TRUE,FALSE,38,182
7150,"gene_8005",0.46,FALSE,FALSE,124,99
1094,"gene_1189",0.46,FALSE,FALSE,82,145
6123,"gene_6836",0.46,FALSE,FALSE,194,33
13804,"gene_15900",0.92,TRUE,FALSE,141,86
14027,"gene_16133",0.3,FALSE,FALSE,60,167
4487,"gene_5021",0.61,TRUE,FALSE,146,85
130,"gene_148",0.32,FALSE,FALSE,163,69
7158,"gene_8013",0.69,TRUE,FALSE,209,30
14057,"gene_16169",0.65,TRUE,FALSE,9,234
16134,"gene_18810",0.39,FALSE,FALSE,202,43
2894,"gene_3219",0.34,FALSE,FALSE,130,117
13713,"gene_15803",0.54,FALSE,FALSE,225,23
2488,"gene_2778",0.45,FALSE,FALSE,190,59
3366,"gene_3730",0.64,TRUE,FALSE,177,72
11654,"gene_13507",0.42,FALSE,FALSE,54,195
6369,"gene_7116",0.75,TRUE,FALSE,24,229
11370,"gene_13210",0.54,FALSE,FALSE,31,222
5939,"gene_6611",0.99,TRUE,FALSE,180,74
198,"gene_223",0.84,TRUE,FALSE,108,148
2071,"gene_2288",0.9,TRUE,FALSE,29,231
15982,"gene_18632",0.16,FALSE,FALSE,61,199
3288,"gene_3645",0.27,FALSE,FALSE,166,95
15445,"gene_18051",0.33,FALSE,FALSE,134,137
7149,"gene_8004",0.47,FALSE,FALSE,235,38
2484,"gene_2774",0.64,TRUE,FALSE,140,135
6205,"gene_6926",0.45,FALSE,FALSE,188,87
6047,"gene_6734",0.56,FALSE,FALSE,75,200
3139,"gene_3472",0.3,FALSE,FALSE,170,106
16807,"gene_19563",0.32,FALSE,FALSE,197,80
16842,"gene_19606",0.38,FALSE,FALSE,224,63
4651,"gene_5199",0.25,FALSE,FALSE,121,168
14267,"gene_16392",0.66,TRUE,FALSE,13,279
8588,"gene_9706",0.37,FALSE,FALSE,182,114
16085,"gene_18753",0.71,TRUE,FALSE,223,83
869,"gene_951",0.66,TRUE,FALSE,246,62
6117,"gene_6830",0.77,TRUE,FALSE,267,44
13800,"gene_15894",0.84,TRUE,FALSE,30,283
492,"gene_545",0.18,FALSE,FALSE,236,84
6046,"gene_6733",0.92,TRUE,FALSE,12,313
8218,"gene_9176",0.97,TRUE,FALSE,2,325
6213,"gene_6935",0.33,FALSE,FALSE,155,173
160,"gene_180",0.69,TRUE,FALSE,89,240
NA,NA,0.4,FALSE,FALSE,NA,NA
NA,NA,0.32,FALSE,FALSE,NA,NA
NA,NA,0.39,FALSE,FALSE,NA,NA
NA,NA,0.2,FALSE,FALSE,NA,NA
NA,NA,0.83,TRUE,FALSE,NA,NA
NA,NA,0.96,TRUE,FALSE,NA,NA
NA,NA,0.98,TRUE,FALSE,NA,NA
NA,NA,0.39,FALSE,FALSE,NA,NA
NA,NA,0.71,TRUE,FALSE,NA,NA
NA,NA,0.47,FALSE,FALSE,NA,NA
NA,NA,0.94,TRUE,FALSE,NA,NA
NA,NA,0.37,FALSE,FALSE,NA,NA
NA,NA,0.43,FALSE,FALSE,NA,NA
NA,NA,0.38,FALSE,FALSE,NA,NA
NA,NA,0.46,FALSE,FALSE,NA,NA
NA,NA,0.69,TRUE,FALSE,NA,NA
NA,NA,0.65,TRUE,FALSE,NA,NA
NA,NA,0.36,FALSE,FALSE,NA,NA
NA,NA,0.61,TRUE,FALSE,NA,NA
NA,NA,0.41,FALSE,FALSE,NA,NA
NA,NA,0.23,FALSE,FALSE,NA,NA
NA,NA,0.79,TRUE,FALSE,NA,NA
NA,NA,0.26,FALSE,FALSE,NA,NA
NA,NA,0.33,FALSE,FALSE,NA,NA
NA,NA,0.51,FALSE,FALSE,NA,NA
NA,NA,0.62,TRUE,FALSE,NA,NA
NA,NA,0.73,TRUE,FALSE,NA,NA
NA,NA,0.13,FALSE,FALSE,NA,NA
NA,NA,0.99,TRUE,FALSE,NA,NA
NA,NA,0.94,TRUE,FALSE,NA,NA
NA,NA,0.37,FALSE,FALSE,NA,NA
NA,NA,0.92,TRUE,FALSE,NA,NA
NA,NA,0.35,FALSE,FALSE,NA,NA
NA,NA,0.35,FALSE,FALSE,NA,NA
NA,NA,0.74,TRUE,FALSE,NA,NA
NA,NA,0.87,TRUE,FALSE,NA,NA
NA,NA,0.44,FALSE,FALSE,NA,NA
NA,NA,0.92,TRUE,FALSE,NA,NA
NA,NA,0.82,TRUE,FALSE,NA,NA
NA,NA,0.71,TRUE,FALSE,NA,NA
NA,NA,0.16,FALSE,FALSE,NA,NA
NA,NA,0.42,FALSE,FALSE,NA,NA
NA,NA,0.4,FALSE,FALSE,NA,NA
NA,NA,0.25,FALSE,FALSE,NA,NA
NA,NA,0.92,TRUE,FALSE,NA,NA
NA,NA,0.73,TRUE,FALSE,NA,NA
NA,NA,0.47,FALSE,FALSE,NA,NA
NA,NA,0.17,FALSE,FALSE,NA,NA
NA,NA,0.36,FALSE,FALSE,NA,NA
NA,NA,0.94,TRUE,FALSE,NA,NA
NA,NA,0.87,TRUE,FALSE,NA,NA
NA,NA,0.54,FALSE,FALSE,NA,NA
NA,NA,0.62,TRUE,FALSE,NA,NA
NA,NA,0.62,TRUE,FALSE,NA,NA
NA,NA,0.76,TRUE,FALSE,NA,NA
NA,NA,0.18,FALSE,FALSE,NA,NA
NA,NA,0.38,FALSE,FALSE,NA,NA
NA,NA,0.37,FALSE,FALSE,NA,NA
NA,NA,0.59,FALSE,FALSE,NA,NA
NA,NA,0.93,TRUE,FALSE,NA,NA
NA,NA,0.73,TRUE,FALSE,NA,NA
NA,NA,0.52,FALSE,FALSE,NA,NA
NA,NA,0.51,FALSE,FALSE,NA,NA
NA,NA,0.97,TRUE,FALSE,NA,NA
NA,NA,0.2,FALSE,FALSE,NA,NA
NA,NA,0.45,FALSE,FALSE,NA,NA
NA,NA,0.79,TRUE,FALSE,NA,NA
NA,NA,0.9,TRUE,FALSE,NA,NA
NA,NA,0.63,TRUE,FALSE,NA,NA
NA,NA,0.6,TRUE,FALSE,NA,NA
NA,NA,0.27,FALSE,FALSE,NA,NA
NA,NA,0.19,FALSE,FALSE,NA,NA
NA,NA,0.57,FALSE,FALSE,NA,NA
NA,NA,0.6,TRUE,FALSE,NA,NA
NA,NA,0.09,FALSE,FALSE,NA,NA
NA,NA,0.28,FALSE,FALSE,NA,NA
NA,NA,0.57,FALSE,FALSE,NA,NA
NA,NA,0.18,FALSE,FALSE,NA,NA
NA,NA,0.5,FALSE,FALSE,NA,NA
NA,NA,0.58,FALSE,FALSE,NA,NA
NA,NA,0.73,TRUE,FALSE,NA,NA
NA,NA,0.38,FALSE,FALSE,NA,NA
NA,NA,0.91,TRUE,FALSE,NA,NA
NA,NA,0.26,FALSE,FALSE,NA,NA
NA,NA,0.21,FALSE,FALSE,NA,NA
NA,NA,0.8,TRUE,FALSE,NA,NA
NA,NA,0.64,TRUE,FALSE,NA,NA
NA,NA,0.86,TRUE,FALSE,NA,NA
NA,NA,0.56,FALSE,FALSE,NA,NA
NA,NA,0.75,TRUE,FALSE,NA,NA
NA,NA,0.48,FALSE,FALSE,NA,NA
NA,NA,0.17,FALSE,FALSE,NA,NA
NA,NA,0.79,TRUE,FALSE,NA,NA
NA,NA,0.39,FALSE,FALSE,NA,NA
NA,NA,0.63,TRUE,FALSE,NA,NA
NA,NA,0.54,FALSE,FALSE,NA,NA
NA,NA,0.65,TRUE,FALSE,NA,NA
NA,NA,0.61,TRUE,FALSE,NA,NA
NA,NA,0.23,FALSE,FALSE,NA,NA
NA,NA,0.34,FALSE,FALSE,NA,NA
NA,NA,0.72,TRUE,FALSE,NA,NA
NA,NA,0.99,TRUE,FALSE,NA,NA
NA,NA,0.45,FALSE,FALSE,NA,NA
NA,NA,0.85,TRUE,FALSE,NA,NA
NA,NA,0.72,TRUE,FALSE,NA,NA
NA,NA,0.65,TRUE,FALSE,NA,NA
NA,NA,0.36,FALSE,FALSE,NA,NA
NA,NA,0.57,FALSE,FALSE,NA,NA
NA,NA,0.19,FALSE,FALSE,NA,NA
NA,NA,0.49,FALSE,FALSE,NA,NA
NA,NA,0.47,FALSE,FALSE,NA,NA
NA,NA,0.7,TRUE,FALSE,NA,NA
NA,NA,0.13,FALSE,FALSE,NA,NA
NA,NA,0.62,TRUE,FALSE,NA,NA
NA,NA,0.59,FALSE,FALSE,NA,NA
NA,NA,0.39,FALSE,FALSE,NA,NA
NA,NA,0.34,FALSE,FALSE,NA,NA
NA,NA,0.26,FALSE,FALSE,NA,NA
NA,NA,0.31,FALSE,FALSE,NA,NA
NA,NA,0.35,FALSE,FALSE,NA,NA
NA,NA,0.93,TRUE,FALSE,NA,NA
NA,NA,0.54,FALSE,FALSE,NA,NA
NA,NA,0.27,FALSE,FALSE,NA,NA
NA,NA,0.43,FALSE,FALSE,NA,NA
NA,NA,0.53,FALSE,FALSE,NA,NA
NA,NA,0.61,TRUE,FALSE,NA,NA
NA,NA,0.78,TRUE,FALSE,NA,NA
NA,NA,0.14,FALSE,FALSE,NA,NA
NA,NA,0.12,FALSE,FALSE,NA,NA
NA,NA,0.53,FALSE,FALSE,NA,NA
NA,NA,0.42,FALSE,FALSE,NA,NA
NA,NA,0.41,FALSE,FALSE,NA,NA
NA,NA,0.93,TRUE,FALSE,NA,NA
NA,NA,0.35,FALSE,FALSE,NA,NA
NA,NA,0.2,FALSE,FALSE,NA,NA
NA,NA,0.4,FALSE,FALSE,NA,NA
NA,NA,0.96,TRUE,FALSE,NA,NA
NA,NA,0.74,TRUE,FALSE,NA,NA
NA,NA,0.5,FALSE,FALSE,NA,NA
NA,NA,0.89,TRUE,FALSE,NA,NA
NA,NA,0.28,FALSE,FALSE,NA,NA
NA,NA,0.26,FALSE,FALSE,NA,NA
NA,NA,0.35,FALSE,FALSE,NA,NA
NA,NA,0.23,FALSE,FALSE,NA,NA
NA,NA,0.45,FALSE,FALSE,NA,NA
NA,NA,0.79,TRUE,FALSE,NA,NA
NA,NA,0.59,FALSE,FALSE,NA,NA
NA,NA,0.66,TRUE,FALSE,NA,NA
NA,NA,0.24,FALSE,FALSE,NA,NA
NA,NA,0.68,TRUE,FALSE,NA,NA
NA,NA,0.27,FALSE,FALSE,NA,NA
NA,NA,0.43,FALSE,FALSE,NA,NA
NA,NA,0.29,FALSE,FALSE,NA,NA
NA,NA,0.23,FALSE,FALSE,NA,NA
NA,NA,0.28,FALSE,FALSE,NA,NA
NA,NA,0.1,FALSE,FALSE,NA,NA
NA,NA,0.44,FALSE,FALSE,NA,NA
NA,NA,0.34,FALSE,FALSE,NA,NA
NA,NA,0.29,FALSE,FALSE,NA,NA
NA,NA,0.41,FALSE,FALSE,NA,NA
NA,NA,0.16,FALSE,FALSE,NA,NA
NA,NA,0.46,FALSE,FALSE,NA,NA
NA,NA,0.27,FALSE,FALSE,NA,NA
NA,NA,0.16,FALSE,FALSE,NA,NA
NA,NA,0.22,FALSE,FALSE,NA,NA
NA,NA,0.62,TRUE,FALSE,NA,NA
NA,NA,0.47,FALSE,FALSE,NA,NA
NA,NA,0.23,FALSE,FALSE,NA,NA
NA,NA,0.54,FALSE,FALSE,NA,NA
NA,NA,0.14,FALSE,FALSE,NA,NA
NA,NA,0.29,FALSE,FALSE,NA,NA
NA,NA,0.06,FALSE,FALSE,NA,NA
NA,NA,0.18,FALSE,FALSE,NA,NA
NA,NA,0.26,FALSE,FALSE,NA,NA
NA,NA,0.22,FALSE,FALSE,NA,NA
NA,NA,0.8,TRUE,FALSE,NA,NA
NA,NA,0.1,FALSE,FALSE,NA,NA
NA,NA,0.62,TRUE,FALSE,NA,NA
NA,NA,0.74,TRUE,FALSE,NA,NA
NA,NA,0.64,TRUE,FALSE,NA,NA
NA,NA,0.64,TRUE,FALSE,NA,NA
NA,NA,0.46,FALSE,FALSE,NA,NA
NA,NA,0.15,FALSE,FALSE,NA,NA
NA,NA,0.1,FALSE,FALSE,NA,NA
NA,NA,0.36,FALSE,FALSE,NA,NA
NA,NA,0.44,FALSE,FALSE,NA,NA
NA,NA,0.49,FALSE,FALSE,NA,NA
NA,NA,0.2,FALSE,FALSE,NA,NA
NA,NA,0.47,FALSE,FALSE,NA,NA
NA,NA,0.17,FALSE,FALSE,NA,NA
NA,NA,0.28,FALSE,FALSE,NA,NA
NA,NA,0.52,FALSE,FALSE,NA,NA
NA,NA,0.89,TRUE,FALSE,NA,NA
NA,NA,0.24,FALSE,FALSE,NA,NA
NA,NA,0.36,FALSE,FALSE,NA,NA
NA,NA,0.31,FALSE,FALSE,NA,NA
NA,NA,0.59,FALSE,FALSE,NA,NA
NA,NA,0.71,TRUE,FALSE,NA,NA
NA,NA,0.8,TRUE,FALSE,NA,NA
NA,NA,0.99,TRUE,FALSE,NA,NA
NA,NA,0.31,FALSE,FALSE,NA,NA
NA,NA,0.37,FALSE,FALSE,NA,NA
NA,NA,0.16,FALSE,FALSE,NA,NA
NA,NA,0.2,FALSE,FALSE,NA,NA
NA,NA,0.31,FALSE,FALSE,NA,NA
NA,NA,0.17,FALSE,FALSE,NA,NA
NA,NA,0.31,FALSE,FALSE,NA,NA
NA,NA,0.23,FALSE,FALSE,NA,NA
NA,NA,0.21,FALSE,FALSE,NA,NA
NA,NA,0.16,FALSE,FALSE,NA,NA
NA,NA,0.83,TRUE,FALSE,NA,NA
NA,NA,0.18,FALSE,FALSE,NA,NA
NA,NA,0.12,FALSE,FALSE,NA,NA
NA,NA,0.3,FALSE,FALSE,NA,NA
NA,NA,0.88,TRUE,FALSE,NA,NA
NA,NA,0.05,FALSE,FALSE,NA,NA
NA,NA,0.31,FALSE,FALSE,NA,NA
NA,NA,0.44,FALSE,FALSE,NA,NA
NA,NA,0.27,FALSE,FALSE,NA,NA
NA,NA,0.19,FALSE,FALSE,NA,NA
NA,NA,0.51,FALSE,FALSE,NA,NA
NA,NA,0.44,FALSE,FALSE,NA,NA
NA,NA,0.08,FALSE,FALSE,NA,NA
NA,NA,0.4,FALSE,FALSE,NA,NA
NA,NA,0.17,FALSE,FALSE,NA,NA
NA,NA,0.19,FALSE,FALSE,NA,NA
NA,NA,0.22,FALSE,FALSE,NA,NA
NA,NA,0.6,TRUE,FALSE,NA,NA
NA,NA,0.18,FALSE,FALSE,NA,NA
NA,NA,0.2,FALSE,FALSE,NA,NA
NA,NA,0.07,FALSE,FALSE,NA,NA
NA,NA,0.51,FALSE,FALSE,NA,NA
NA,NA,0.58,FALSE,FALSE,NA,NA
NA,NA,0.48,FALSE,FALSE,NA,NA
NA,NA,0.17,FALSE,FALSE,NA,NA
NA,NA,0.31,FALSE,FALSE,NA,NA
NA,NA,0.53,FALSE,FALSE,NA,NA
NA,NA,0.24,FALSE,FALSE,NA,NA
